CatalogEntryParentProductRelationship
PartNumber,ParentPartNumber,Sequence
F2314.GRE.4,F2314,0
F2314.GRE.3,F2314,0
F2316.PRI.XL,F2316,0
F2316.PRI.S,F2316,0
F2316.PRI.M,F2316,0
F2316.PRI.L,F2316,0
F2332.TUR.8,F2332,0
F2332.TUR.7,F2332,0
F2332.TUR.6X,F2332,0
F2332.TUR.6,F2332,0
F2332.TUR.5,F2332,0
F2332.TUR.4,F2332,0
F2332.TUR.3,F2332,0
F2336.IVO.7,F2336,0
F2336.IVO.6X,F2336,0
F2336.IVO.6,F2336,0
F2336.IVO.5,F2336,0
F2336.IVO.4,F2336,0
F2336.IVO.3,F2336,0
F2799.PIN.XS,F2799,0
F2799.PIN.XL,F2799,0
F2799.PIN.S,F2799,0
F2799.PIN.M,F2799,0
F2799.PIN.L,F2799,0
CKH69.PIN.XL,CKH69,0
CKH69.PIN.S,CKH69,0
CKH69.PIN.M,CKH69,0
CKH69.PIN.L,CKH69,0
CKR56.PUR.XL,CKR56,0
CKR56.PUR.S,CKR56,0
CKR56.PUR.M,CKR56,0
CKR56.PUR.L,CKR56,0
DGX02.PRI.XL,DGX02,0
DGX02.PRI.L,DGX02,0
DGX02-OC,DGX02,0
DGX02.PRI.M,DGX02,0
DGX02.PRI.S,DGX02,0
DGX02.PRI.XS,DGX02,0
DGX01.PRI.6,DGX01,0
DGX01.PRI.8,DGX01,0
DGX01.PRI.7,DGX01,0
DGX01.PRI.16,DGX01,0
DGX01.PRI.14,DGX01,0
DGX01.PRI.12,DGX01,0
DGX01.PRI.10,DGX01,0
DGX03A.GRE.XL,DGX03,0
DGX03A.GRE.S,DGX03,0
DGX03A.GRE.M,DGX03,0
DGX03A.GRE.L,DGX03,0
G0644.PIN.S,G0644,0
G0644.PIN.XL,G0644,0
G0644.PIN.M,G0644,0
G0644.PIN.L,G0644,0
G0798.CRE.7,G0798,0
G0798.CRE.6X,G0798,0
G0798.CRE.6,G0798,0
G0798.CRE.5,G0798,0
G0798.CRE.4,G0798,0
G0798.CRE.3,G0798,0
G0879.PRI.7,G0879,0
G0879.PRI.6X,G0879,0
G0879.PRI.6,G0879,0
G0879.PRI.5,G0879,0
G0879.PRI.4,G0879,0
G0879.PRI.3,G0879,0
G0881.BER.XL,G0881,0
G0881.BER.S,G0881,0
G0881.BER.M,G0881,0
G0881.BER.L,G0881,0
G0897.PRI.XL,G0897,0
G0897.PRI.S,G0897,0
G0897.PRI.M,G0897,0
G0897.PRI.L,G0897,0
G0903.CRE.XL,G0903,0
G0903.CRE.S,G0903,0
G0903.CRE.M,G0903,0
G0903.CRE.L,G0903,0
G1154.PRI.7,G1154,0
G1154.PRI.6X,G1154,0
G1154.PRI.6,G1154,0
G1154.PRI.5,G1154,0
G1154.PRI.4,G1154,0
G1154.PRI.3,G1154,0
DGY80.MUL.L/XL,DGY80,0
DGY80.MUL.S/M,DGY80,0
CMN73B.AQU.XS,CMN73,0
CMN73B.AQU.S,CMN73,0
CMN73B.AQU.M,CMN73,0
CMN73B.AQU.L,CMN73,0
G1156.DOT.7,G1156,0
G1156.DOT.6X,G1156,0
G1156.DOT.6,G1156,0
G1156.DOT.5,G1156,0
G1156.DOT.4,G1156,0
G1156.DOT.3,G1156,0
G1508.WHI.XS,G1508,0
G1508.WHI.S,G1508,0
G1508.WHI.M,G1508,0
G1508.WHI.L,G1508,0
G1510.WHI.XS,G1510,0
G1510.WHI.S,G1510,0
G1510.WHI.M,G1510,0
G1510.WHI.L,G1510,0
HEARING-AID-R,HA_SERVICE,0
HEARING-AID-L,HA_SERVICE,0
HEARING-AID-B,HA_SERVICE,0
CMG46.CRE.7,CMG46,0
CMG46.CRE.6X,CMG46,0
CMG46.CRE.6,CMG46,0
CMG46.CRE.5,CMG46,0
CMG46.CRE.4,CMG46,0
CMG46.CRE.3,CMG46,0
CGL92.PIN.XL,CGL92,0
CGL92.PIN.S,CGL92,0
CGL92.PIN.M,CGL92,0
CGL92.PIN.L,CGL92,0
DNP59.MUL.XL,DNP59,0
DNP59.MUL.M,DNP59,0
DNP59.MUL.XS,DNP59,0
DNP59.MUL.S,DNP59,0
DNP59.MUL.L,DNP59,0
DRK73.WHI.XS,DRK73,0
DRK73.WHI.XL,DRK73,0
DRK73.WHI.S,DRK73,0
DRK73.WHI.L,DRK73,0
DRK73.WHI.M,DRK73,0
DRK75.RED.XS,DRK75,0
DRK75.RED.XL,DRK75,0
DRK75.RED.S,DRK75,0
DRK75.RED.M,DRK75,0
DRK75.RED.L,DRK75,0
DRK76.PLU.8,DRK76,0
DRK76.PLU.6,DRK76,0
DRK76.PLU.16,DRK76,0
DRK76.PLU.14,DRK76,0
DRK76.PLU.12,DRK76,0
DRK76.PLU.10,DRK76,0
DRK76.PLU.7,DRK76,0
CHG92A.PRI.XS,CHG92,0
CHG92A.PRI.M,CHG92,0
CHG92A.PRI.XL,CHG92,0
CHG92A.PRI.S,CHG92,0
CHG92A.PRI.L,CHG92,0
CHG95A.COR.6,CHG95,0
CHG95A.COR.10,CHG95,0
CHG95A.COR.8,CHG95,0
CHG95A.COR.7,CHG95,0
CHG95A.COR.16,CHG95,0
CHG95A.COR.14,CHG95,0
CHG95A.COR.12,CHG95,0
CHG96A.PLA.7,CHG96,0
CHG96A.PLA.14,CHG96,0
CHG96A.PLA.12,CHG96,0
CHG96A.PLA.10,CHG96,0
CHG96A.PLA.8,CHG96,0
CHG96A.PLA.6,CHG96,0
CHG96A.PLA.16,CHG96,0
CHG97A.WHI.7,CHG97,0
CHG97A.WHI.14,CHG97,0
CHG97A.WHI.8,CHG97,0
CHG97A.WHI.6,CHG97,0
CHG97A.WHI.16,CHG97,0
