CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
G7216,barbie-fashion-model-collection-silkstone,0
G7216,all-signature-gallery,0
G7216,2000s-barbie-dolls,0
G7216,robert-best,0
G7216,limited-edition,0
G8081,barbie-model-of-moment,0
G8081,signature-fashion-dolls,0
G8081,robert-best,0
G8081,gold-label,0
G8081,all-signature-gallery,0
G8081,2000s-barbie-dolls,0
G8057,barbie-loves-lucy,0
G8057,barbie-hollywood-dolls,0
G8057,all-signature-gallery,0
G8057,2000s-barbie-dolls,0
H1192,barbie-hollywood-dolls,0
H1192,all-signature-gallery,0
H1192,2000s-barbie-dolls,0
H7548,barbie-special-occasion-dolls,0
H7548,silver-label,0
H7548,davids-bridal-barbie-dolls,0
H7548,all-signature-gallery,0
H7548,2000s-barbie-dolls,0
H8153,barbie-special-occasion-dolls,0
H8153,silver-label,0
H8153,davids-bridal-barbie-dolls,0
H8153,all-signature-gallery,0
H8153,2000s-barbie-dolls,0
J0956,silkstone-barbie-dolls,0
J0956,barbie-fashion-model-collection-silkstone,0
J0956,robert-best,0
J0956,gold-label,0
J0956,all-signature-gallery,0
J0956,2000s-barbie-dolls,0
K5870,silkstone-barbie-dolls,0
K5870,barbie-fashion-model-collection-silkstone,0
K5870,robert-best,0
K5870,barbie-fan-club-dolls,0
K5870,barbie-club-dolls,0
K5870,platinum-label,0
K5870,all-signature-gallery,0
K5870,2000s-barbie-dolls,0
K7946,pop-culture-barbie-dolls,0
K7946,hard-rock-cafe-barbie-dolls,0
K7946,all-signature-gallery,0
K7946,2000s-barbie-dolls,0
K7958,barbie-special-occasion-dolls,0
K7958,barbie-holiday-dolls,0
K7958,all-signature-gallery,0
K7958,2000s-barbie-dolls,0
K7968,barbie-special-occasion-dolls,0
K7968,sharon-zuckerman,0
K7968,gold-label,0
K7968,all-signature-gallery,0
K7968,designer-brides-barbie-dolls,0
K7968,2000s-barbie-dolls,0
K8698,bill-greening,0
K8698,barbie-special-occasion-dolls,0
K8698,barbie-birthstone-beauties,0
K8698,pink-label,0
K8698,all-signature-gallery,0
K8698,2000s-barbie-dolls,0
L4103,barbie-special-occasion-dolls,0
L4103,robert-best,0
L4103,pink-label,0
L4103,all-signature-gallery,0
L4103,2000s-barbie-dolls,0
L7584,bill-greening,0
L7584,barbie-special-occasion-dolls,0
L7584,barbie-birthstone-beauties,0
L7584,pink-label,0
L7584,all-signature-gallery,0
L7584,2000s-barbie-dolls,0
L9583,barbie-dolls-of-the-world-europe,0
L9583,barbie-dolls-of-the-world-complete-collection,0
L9583,barbie-dolls-of-the-world,0
L9583,pink-label,0
L9583,linda-kyaw,0
L9583,all-signature-gallery,0
L9583,2000s-barbie-dolls,0
M7510,bill-greening,0
M7510,pop-culture-barbie-dolls,0
M7510,pink-label,0
M7510,all-signature-gallery,0
M7510,2000s-barbie-dolls,0
DGW46,harlem-theatre-collection,0
DGW46,barbie-signature-gallery,0
DGW46,carlyle-nuera,0
DGW46,gold-label,0
DGW46,vintage-looks,0
MPL003428,books-magazines,0
MPL003379,books-magazines,0
MPL003429,books-magazines,0
MPL003410,books-magazines,0
MPL003407,books-magazines,0
MPL003416,books-magazines,0
MPL003417,books-magazines,0
MPL003413,books-magazines,0
MPL003398,movies-videos,0
MPL003367,movies-videos,0
MPL003317,movies-videos,0
MPL003323,movies-videos,0
MPL003359,movies-videos,0
MPL003360,movies-videos,0
MPL003312,movies-videos,0
MPL003310,movies-videos,0
MPL003325,movies-videos,0
MPL003319,movies-videos,0
MPL003322,movies-videos,0
MPL003324,movies-videos,0
MPL003333,movies-videos,0
MPL003328,movies-videos,0
MPL003371,movies-videos,0
MPL003357,movies-videos,0
MPL003331,movies-videos,0
MPL003316,movies-videos,0
MPL003329,movies-videos,0
MPL003352,barbie-birthday,0
MPL003352,birthday,0
MPL003352,games-activities,0
MPL003354,barbie-birthday,0
MPL003354,birthday,0
MPL003354,games-activities,0
MPL003353,barbie-birthday,0
MPL003353,birthday,0
MPL003353,games-activities,0
MPL003315,home-decor,0
MPL003311,barbie-birthday,0
MPL003311,birthday,0
MPL003311,clothing-accessories,0
MPL003334,barbie-birthday,0
MPL003334,birthday,0
MPL003334,clothing-accessories,0
MPL003293,barbie-birthday,0
MPL003293,birthday,0
MPL003293,clothing-accessories,0
MPL003294,home-decor,0
MPL003294,bikes-outdoor,0
MPL003292,home-decor,0
MPL003292,bikes-outdoor,0
MPL003386,csr_ba_nla_,0
MPL003284,bikes-outdoor,0
MPL003355,bikes-outdoor,0
MPL003342,bikes-outdoor,0
MPL003286,barbie-birthday,0
MPL003286,birthday,0
MPL003286,arts-crafts-stationary,0
MPL003314,barbie-birthday,0
MPL003314,birthday,0
MPL003314,arts-crafts-stationary,0
MPL003369,csr_ba_nla_,0
MPL003290,barbie-birthday,0
MPL003290,birthday,0
MPL003290,arts-crafts-stationary,0
MPL003364,barbie-birthday,0
MPL003364,birthday,0
MPL003364,arts-crafts-stationary,0
MPL003338,fashion-dolls,0
MPL003340,fashion-dolls,0
MPL003337,fashion-dolls,0
MPL003336,fashion-dolls,0
MPL003285,barbie-birthday,0
MPL003285,birthday,0
MPL003285,clothing-accessories,0
MPL003287,barbie-birthday,0
MPL003287,birthday,0
MPL003287,clothing-accessories,0
MPL003288,barbie-birthday,0
MPL003288,birthday,0
MPL003288,clothing-accessories,0
MPL003335,barbie-birthday,0
MPL003335,birthday,0
MPL003335,clothing-accessories,0
MPL003341,barbie-birthday,0
MPL003341,birthday,0
MPL003341,clothing-accessories,0
MPL003343,barbie-birthday,0
MPL003343,birthday,0
MPL003343,clothing-accessories,0
MPL003291,csr_ba_nla_,0
MPL003283,fashion-dolls,0
MPL003431,barbie-birthday,0
MPL003431,birthday,0
MPL003431,clothing-accessories,0
MPL003574,barbie-birthday,0
MPL003574,birthday,0
MPL003574,clothing-accessories,0
MPL003574,arts-crafts-stationary,0
MPL003575,barbie-birthday,0
MPL003575,birthday,0
MPL003575,clothing-accessories,0
MPL003577,barbie-birthday,0
MPL003577,birthday,0
MPL003577,clothing-accessories,0
MPL003578,barbie-birthday,0
MPL003578,birthday,0
MPL003578,clothing-accessories,0
MPL003633,barbie-birthday,0
MPL003633,birthday,0
MPL003633,games-activities,0
MPL003633,electronics,0
MPL003569,home-decor,0
MPL003569,clothing-accessories,0
MPL003609,barbie-birthday,0
MPL003609,birthday,0
MPL003609,clothing-accessories,0
71BUN03,csr_ba_nla_,0
71BUN04,csr_ba_nla_,0
71BUN06,csr_ba_nla_,0
71BUN08,csr_ba_nla_,0
71BUN09,csr_ba_nla_,0
71BUN10,csr_ba_nla_,0
71BUN11,csr_ba_nla_,0
71BUN12,csr_ba_nla_,0
71BUN13,csr_ba_nla_,0
71BUN14,csr_ba_nla_,0
71BUN15,csr_ba_nla_,0
BCP70,2010s-barbie-dolls,0
BCP70,bill-greening,0
BCP70,black-label,0
BCP70,divergent-dolls,0
BCP77,2010s-barbie-dolls,0
BCP77,barbie-signature-gallery,0
BCP77,barbie-hollywood-dolls,0
BCP77,all-signature-gallery,0
BCP77,signature-fantasy-dolls,0
BCP77,pink-label,0
BCP77,barbie-the-wizard-of-oz-collection,0
BCP78,2010s-barbie-dolls,0
BCP78,all-signature-gallery,0
BCP78,barbie-signature-gallery,0
BCP78,barbie-hollywood-dolls,0
BCP78,pink-label,0
BCP78,signature-fantasy-dolls,0
BCP78,barbie-the-wizard-of-oz-collection,0
BCP83,2010s-barbie-dolls,0
BCP83,barbie-signature-gallery,0
BCP83,robert-best,0
BCP83,all-signature-gallery,0
BCP83,silkstone-barbie-dolls,0
BCP83,barbie-fashion-model-collection-silkstone,0
BCP83,signature-fashion-dolls,0
BCP83,gold-label,0
BCR06,2010s-barbie-dolls,0
BCR06,barbie-signature-gallery,0
BCR06,barbie-holiday-hostess-collection,0
BCR06,bill-greening,0
BCR06,gold-label,0
BJV25,2010s-barbie-dolls,0
BJV25,barbie-signature-gallery,0
BJV25,barbie-hollywood-dolls,0
BJV25,pink-label,0
BJV25,barbie-the-wizard-of-oz-collection,0
CGT25,2010s-barbie-dolls,0
CGT25,barbie-signature-gallery,0
CGT25,gold-label,0
CGT25,robert-best,0
CGT28,silkstone-barbie-dolls,0
CGT28,gold-label,0
CGT28,robert-best,0
CGT28,vintage-looks,0
CHF57,2010s-barbie-dolls,0
CHF57,barbie-signature-gallery,0
CHF57,barbie-hollywood-dolls,0
CHF57,bill-greening,0
CHF57,black-label,0
CHF57,divergent-dolls,0
CHT05,2010s-barbie-dolls,0
CHT05,barbie-signature-special-offers,0
CHT05,barbie-sale,0
CHT05,gold-label,0
CHT05,robert-best,0
CHX11,2010s-barbie-dolls,0
CHX11,harlem-theatre-collection,0
CHX11,carlyle-nuera,0
CHX11,gold-label,0
CJF33,2010s-barbie-dolls,0
CJF33,barbie-signature-gallery,0
CJF33,bill-greening,0
CJF33,black-label,0
CJF33,barbie-hunger-games-collection,620
CJF34,2010s-barbie-dolls,0
CJF34,barbie-signature-gallery,0
CJF34,bill-greening,0
CJF34,black-label,0
CJF34,barbie-hunger-games-collection,800
CJF50,2010s-barbie-dolls,0
CJF50,bill-greening,0
CJF50,black-label,0
CJF51,2010s-barbie-dolls,0
CJF51,bill-greening,0
CJF51,black-label,0
CJF56,2010s-barbie-dolls,0
CJF56,bill-greening,0
CJF56,black-label,0
CJF56,barbie-hunger-games-collection,0
CJF56,barbie-hollywood-dolls,0
CJF56,barbie-signature-gallery,0
CMV57,black-label,0
CMV57,2010s-barbie-dolls,0
CMV57,tokidoki-barbie-dolls,0
CMV57,designer-barbie-dolls,0
CMV57,bill-greening,0
CMV57,all-signature-gallery,0
DGW37,2010s-barbie-dolls,0
DGW37,barbie-signature-gallery,0
DGW37,connie-tsai,0
DGW37,pink-label,0
DGW44,2010s-barbie-dolls,0
DGW44,gold-label,0
DGW47,2010s-barbie-dolls,0
DGW47,global-glamour-collection,0
DGW47,barbie-signature-gallery,0
DGW47,world-culture,0
DGW47,carlyle-nuera,0
DGW47,gold-label,0
DGW60,2010s-barbie-dolls,0
DGW60,barbie-signature-gallery,0
DGW60,designer-barbie-dolls,0
DGW60,gold-label,0
DGW60,linda-kyaw,0
DGW60,barbie-sale,0
DGW60,barbie-signature-special-offers,0
DGX88,2010s-barbie-dolls,0
DGX88,barbie-signature-gallery,0
DGX88,bill-greening,0
DGX88,gold-label,0
W3494,2010s-barbie-dolls,0
W3494,barbie-signature-gallery,0
W3494,pink-label,0
W3494,linda-kyaw,0
W3494,world-culture,0
W3514,2010s-barbie-dolls,0
W3514,bill-greening,0
W3514,gold-label,0
W3514,signature-fantasy-dolls,0
X8273,2010s-barbie-dolls,0
X8273,signature-fantasy-dolls,0
X8273,all-signature-gallery,0
X8273,barbie-signature-gallery,0
X8273,bill-greening,0
X8273,black-label,0
X8273,barbie-hunger-games-collection,900
X8427,2010s-barbie-dolls,0
X8427,all-signature-gallery,0
X8427,barbie-signature-gallery,0
X8427,signature-fantasy-dolls,0
X8427,bill-greening,0
X8427,black-label,0
X8427,barbie-hunger-games-collection,900
Y3356,2010s-barbie-dolls,0
Y3356,all-signature-gallery,0
Y3356,bill-greening,0
Y3356,signature-fantasy-dolls,0
Y3356,barbie-signature-gallery,0
Y3356,black-label,0
Y3356,barbie-hunger-games-collection,900
MPL003634,barbie-birthday,0
MPL003634,birthday,0
MPL003634,clothing-accessories,0
MPL003631,barbie-birthday,0
MPL003631,birthday,0
MPL003631,clothing-accessories,0
MPL003617,barbie-birthday,0
MPL003617,birthday,0
MPL003617,clothing-accessories,0
MPL003576,barbie-birthday,0
MPL003576,birthday,0
MPL003576,clothing-accessories,0
MPL003576,arts-crafts-stationary,0
MPL003638,electronics,0
MPL003594,movies-videos,0
MPL003646,barbie-birthday,0
MPL003646,birthday,0
MPL003646,clothing-accessories,0
FGY71,ba-holiday-sale,0
FGY71,barbie-sale,0
FGY80,barbie-sale,0
DWF53,barbie-signature-gallery,0
DWF53,silkstone-barbie-dolls,0
DWF53,gold-label,0
DWF53,robert-best,0
MPL001368,barbie-birthday,0
MPL001368,birthday,0
MPL001368,clothing-accessories,0
MPL001359,barbie-birthday,0
MPL001359,birthday,0
MPL001359,clothing-accessories,0
MPL001353,barbie-birthday,0
MPL001353,birthday,0
MPL001353,clothing-accessories,0
MPL001344,barbie-birthday,0
MPL001344,birthday,0
MPL001344,clothing-accessories,0
MPL001374,barbie-birthday,0
MPL001374,birthday,0
MPL001374,clothing-accessories,0
MPL001348,barbie-birthday,0
MPL001348,birthday,0
MPL001348,clothing-accessories,0
MPL001347,barbie-birthday,0
MPL001347,birthday,0
MPL001347,clothing-accessories,0
MPL001345,barbie-birthday,0
MPL001345,birthday,0
MPL001345,clothing-accessories,0
MPL001356,barbie-birthday,0
MPL001356,birthday,0
MPL001356,clothing-accessories,0
MPL001352,barbie-birthday,0
MPL001352,birthday,0
MPL001352,clothing-accessories,0
MPL001366,barbie-birthday,0
MPL001366,birthday,0
MPL001366,clothing-accessories,0
MPL001410,barbie-birthday,0
MPL001410,birthday,0
MPL001410,clothing-accessories,0
MPL001365,barbie-birthday,0
MPL001365,birthday,0
MPL001365,clothing-accessories,0
MPL001386,barbie-birthday,0
MPL001386,birthday,0
MPL001386,clothing-accessories,0
MPL001361,barbie-birthday,0
MPL001361,birthday,0
MPL001361,clothing-accessories,0
MPL001372,barbie-birthday,0
MPL001372,birthday,0
MPL001372,clothing-accessories,0
MPL001619,electronics,0
