CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
CKY67,exclusive-products,0
CKY67,thomas-friends-toys,43
CKY67,for-boys,3
CKY67,toy-trains-sets,21
CKY67,toy-cars-trains-train-sets,12
CKY67,thomas-friends-trackmaster,6
CKY67,thomas-friends,43
CKY67,gift-set,39
CKY67,holiday-gift-guide,337
CKY61,fisherprice-promo1,0
CKY61,fisherprice-promo2,0
CKY61,FP-static-kit-exclusions,0
CKY61,toys-for-5-year-olds,0
CKY61,toys-for-4-year-olds,0
CKY61,toys-for-3-year-olds,0
CKY61,exclusive-products,0
CKY61,loving-family,0
CKY61,for-girls,11
CKY61,loving-family-dollhouses,0
CKY61,gift-set,3
CKY61,doll-houses,0
CKY61,holiday-gift-guide,336
CKY68,fisherprice-promo2,0
CKY68,FP-static-kit-exclusions,0
CKY68,toys-for-2-year-olds,0
CKY68,toys-for-1-year-olds,0
CKY68,toys-12-18-months,0
CKY68,infant-baby-toys-gear,0
CKY68,exclusive-products,0
CKY68,playsets,20
CKY68,laugh-learn,3
CKY68,shop-baby-toys,19
CKY68,early-learning-toys,6
CKY68,baby-toys,6
CKY68,playsets-action-figures,28
CKY68,gift-set,53
CKY68,holiday-gift-guide,338
CKY64,csr_fp_nla_,0
FGY01,csr_fp_nla_,0
FGY39,fisherprice-promo2,0
FGY39,FP-static-kit-exclusions,0
FGY39,exclusive-products,0
FGY39,for-boys,19
FGY39,playsets-action-figures,81
FGY39,gift-set,34
FGY39,bob-the-builder-toys,2
FGY39,playsets,70
FGY39,holiday-gift-guide,377
FGY40,csr_fp_nla_,0
FGY41,fisherprice-promo1,0
FGY41,fisherprice-promo2,0
FGY41,FP-static-kit-exclusions,0
FGY41,exclusive-products,0
FGY41,shop-baby-toys,24
FGY41,building-toys,5
FGY41,gift-set,59
FGY41,baby-toys,24
FGY41,playsets,0
FGY41,mega-bloks-preschool,1
FGY41,for-girls,40
FGY41,holiday-gift-guide,379
FGY43,csr_fp_nla_,0
FGY45,fisherprice-promo2,0
FGY45,FP-static-kit-exclusions,0
FGY45,exclusive-products,0
FGY45,for-boys,35
FGY45,playsets-action-figures,101
FGY45,gift-set,26
FGY45,playsets,91
FGY45,imaginext-dc-super-friends,4
FGY45,imaginext,2
FGY45,holiday-gift-guide,382
FGY46,csr_fp_nla_,0
FGY47,csr_fp_nla_,0
FGY51,fisherprice-promo2,0
FGY51,FP-static-kit-exclusions,0
FGY51,exclusive-products,0
FGY51,for-boys,13
FGY51,toy-planes-boats,2
FGY51,toy-cars-trains-train-sets,8
FGY51,playsets-action-figures,11
FGY51,gift-set,30
FGY51,imaginext-pirates,2
FGY51,playsets,9
FGY51,imaginext,6
FGY51,holiday-gift-guide,385
FGY52,top-holiday-toy-list,0
FGY52,fisherprice-promo2,0
FGY52,FP-static-kit-exclusions,0
FGY52,exclusive-products,0
FGY52,for-boys,37
FGY52,playsets-action-figures,55
FGY52,gift-set,28
FGY52,playsets,49
