CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
FLR85,newtenney,215
FLR85,new8up,610
FLR85,conversanttmclothing,3510
FLR85,new,515
FLR85,clothingcat,645
FLR85,gg8up,220
FLR85,conversantwwclothing,3510
FLR85,conversantbfclothing,3510
FLR85,conversantccclothing,510
FLR81,csr_nla_,0
FLR80,newtenney,230
FLR80,dolltenneysub,210
FLR80,new,530
FLR80,furnaccessnew,426
FLR80,new8up,625
FLR80,conversantccfurniture,210
FLR80,furnaccessschoolmusic,110
FLR80,furnaccesstenney,100
FLR80,furnaccesscat,240
FLR80,conversantbffurniture,5240
FLR80,conversantwwfurniture,5240
FLR80,conversanttmfurniture,5240
FLR80,conversantbbfurniture,5240
FLR80,tmmixmatch,820
FLR77,tmmixmatch,830
FLR77,SEOdollglasses,70
FLR77,newtenney,240
FLR77,conversantbbfurniture,5425
FLR77,conversantwwfurniture,5425
FLR77,Valentinegifts,125
FLR77,dolltenneysub,230
FLR77,new8up,635
FLR77,furnaccessnew,430
FLR77,new,540
FLR77,conversanttmfurniture,5425
FLR77,furnaccesscat,425
FLR77,conversantccfurniture,230
FLR77,ggunder30,150
FLR77,conversantbffurniture,5425
FLR77,furnaccesstenney,110
FLR77,furnaccessfashion,130
FLR79,new,525
FLR79,furnaccessfashion,150
FLR79,conversantbbfurniture,5430
FLR79,newtenney,225
FLR79,dolltenneysub,200
FLR79,furnaccesstenney,130
FLR79,conversantwwfurniture,5430
FLR79,new8up,620
FLR79,conversanttmfurniture,5430
FLR79,furnaccessnew,435
FLR79,conversantccfurniture,235
FLR79,furnaccesscat,430
FLR79,conversantbffurniture,5430
FLR79,SEO Doll Shoes,110
FMC77,newgoty,160
FMC77,conversantwwfurniture,5130
FMC77,ggbirthday,110
FMC77,furnaccesscat,130
FMC77,furnaccesssports,110
FMC77,dollgotylucianasub,230
FMC77,conversantbffurniture,5130
FMC77,new8up,560
FMC77,stem,85
FMC77,furnaccessnew,420
FMC77,conversanttmfurniture,5130
FMC77,new,460
FMC77,furnaccessgotyluciana,150
FMC77,conversantccfurniture,130
FMC77,conversantbbfurniture,5130
CG0433,csr_nla_canada,0
11002-26755,csr_rparts ,0
DNK51.PRI.4,csr_canada_active,1
DNK51.PRI.4,ggnurturing,0
DNK51.PRI.4,clothingww,0
DNK51.PRI.4,welliewishersfs,0
DNK51.PRI.4,wwclothingdlyd,0
DNK51.PRI.4,clothinglittlegirl,0
DNK51.PRI.4,dollwelliessub,0
DNK51.PRI.4,allgirlclothing,0
DNK51.PRI.4,dollbtsub,0
DNK51.PRI.4,girlshortspantsskirts,0
FCN74,sale,1515
FCN74,whilesupplieslast,1515
FCN74,earlyaccess,1515
11010-93170,csr_rparts ,0
DYK04,agfairwayplace,1210
DYK04,conversanttmfurniture,5315
DYK04,furnaccesscat,315
DYK04,ggover100,610
DYK04,juliedollsub,170
DYK04,furnaccessbedhome,545
DYK04,furnaccessstorageother,410
DYK04,furnaccessbf,405
DYK04,furnaccessjulie,100
DYK04,conversantwwfurniture,5315
DYK04,conversantbffurniture,880
DYK04,conversantccfurniture,5315
DYK04,conversantbbfurniture,5315
11010-93180,csr_rparts ,0
11010-93182,csr_rparts ,0
11010-93169,csr_rparts ,0
11010-93176,csr_rparts ,0
11010-93177,csr_rparts ,0
11010-94874,csr_rparts ,0
11010-94886,csr_rparts ,0
11010-93210,csr_rparts ,0
11010-94884,csr_rparts ,0
CDYK04,csr_canada_active,1
FDX20,clothingcat,1880
FDX20,conversantbbclothing,4880
FDX20,conversantccclothing,4880
FDX20,clothingmatch,1000
FDX20,clothing18inch,630
FDX20,conversantwwclothing,4880
FDX20,clothinglogoshop,70
FDX20,clothingcasual,640
FDX20,conversanttmclothing,880
FDX20,conversantbfclothing,4880
FGM78,booknanea,20
FGM78,Valentinegifts,180
FGM78,conversantbfbooks,510
FGM78,SEO Books for Kids,510
FGM78,bookbf,100
FGM78,bookstorecat,510
FGM78,naneadollsub,350
FGM78,conversantccbooks,7510
FGM78,conversantwwbooks,7510
FGM78,bookhistfict,100
FGM80,naneadollsub,370
FGM80,booknanea,40
FGM80,SEO Books for Kids,550
FGM80,bookbf,110
FGM80,bookhistfict,120
FGM80,conversantbfbooks,525
FGM80,conversantccbooks,7550
FGM80,bookstorecat,550
FGM80,conversantwwbooks,7550
FGM75,SEO Books for Kids,2110
FGM75,conversantccbooks,9110
FGM75,bookstorecat,2110
FGM75,conversantbfbooks,10110
FGM75,bookmystery,1200
FGM75,booksummerreading,380
FGM75,conversantwwbooks,10110
FGM75,bookadviceactivity,180
FLL06,new8up,775
FLL06,clothingtm,210
FLL06,clothing18inch,220
FLL06,clothingcat,290
FLL06,newtm,370
FLL06,clothingnew,410
FLL06,furnaccesscamping,34
FLL06,conversanttmclothing,305
FLL06,ggunder30,290
FLL06,clothingcasual,205
FLL06,boydolls,505
FLL06,conversantbbclothing,3305
FLL06,sportsactivities,60
FLL06,new,205
FLL06,conversantwwclothing,3305
FLL06,conversantbfclothing,3305
FLL06,conversantccclothing,3305
FLY86,ggover100,180
FLY86,gg8up,380
FLY86,newtm,330
FLY86,furnaccesstm,80
FLY86,new8up,755
FLY86,furnaccessfood,312
FLY86,furnaccessnew,445
FLY86,new,200
FLY86,conversantwwfurniture,5200
FLY86,eastergifts,78
FLY86,furnaccesscat,200
FLY86,furnaccessgirl8up,205
FLY86,conversanttmfurniture,200
FLY86,agfairwayplace,805
FLY86,conversantbbfurniture,5200
FLY86,conversantbffurniture,5200
FLY86,conversantccfurniture,5200
FLY23,new8up,780
FLY23,clothingspring,86
FLY23,clothingcasual,240
FLY23,clothingactive,115
FLY23,clothingtm,215
FLY23,clothing18inch,225
FLY23,new,675
