MarketingSpotDefaultTitle
spotName,usageType,contentName,sequence,delete
Widget_CategoryRecommendation_701_10451,MARKETING,Widget_10451_07_21_2016_09_02_22_682_1055,0,0
Widget_CatalogEntryRecommendation_701_17452,MARKETING,Widget_17452_08_10_2016_15_59_17_215_6431,0,0
