CatalogEntry
PartNumber,Type,ParentGroupIdentifier,CurrencyCode,ListPrice,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Buyable,Published,Delete
05313,ItemBean,71,USD,,,,,,,,1,0
05351,ItemBean,71,USD,,,,,,,,1,0
05352,ItemBean,71,USD,,,,,,,,1,0
05405,ItemBean,71,USD,,,,,,,,1,0
05475,ItemBean,71,USD,,,,,,,,1,0
05588,ItemBean,71,USD,,,,,,,,1,0
05626,ItemBean,71,USD,,,,,,,,1,0
05627,ItemBean,71,USD,,,,,,,,1,0
05BUN08,BundleBean,05,USD,,,,,,,,1,0
05BUN09,BundleBean,05,USD,,,,,,,,1,0
05BUN10,BundleBean,05,USD,,,,,,,,1,0
05BUN11,BundleBean,05,USD,,,,,,,,1,0
05BUN12,BundleBean,05,USD,,,,,,,,1,0
06-1181B,ItemBean,00,USD,1,,,,,,,1,0
06-1181L1,ItemBean,02,USD,1,,,,,,,1,0
06-1183B,ItemBean,00,USD,1,,,,,,,1,0
06-1183L1,ItemBean,02,USD,1,,,,,,,1,0
06-541B,ItemBean,00,USD,1,,,,,,,1,0
06-541L1,ItemBean,02,USD,1,,,,,,,1,0
06-552B1,ItemBean,02,USD,1,,,,,,,1,0
06-553B1,ItemBean,02,USD,1,,,,,,,1,0
06-731L1M,ItemBean,02,USD,1,,,,,,,1,0
06-771B1M,ItemBean,02,USD,1,,,,,,,1,0
06-771B2M,ItemBean,04,USD,1,,,,,,,1,0
06-771B4M,ItemBean,06,USD,1,,,,,,,1,0
06-773B1,ItemBean,02,USD,1,,,,,,,1,0
06-883B1,ItemBean,02,USD,1,,,,,,,1,0
06-BBX-LM,ItemBean,04,USD,2,,,,,,,1,0
06-HDL-L,ItemBean,02,USD,2,,,,,,,1,0
06BUN01,BundleBean,06,USD,,,,,,,,1,0
06BUN02,BundleBean,06,USD,,,,,,,,1,0
06BUN04,BundleBean,06,USD,,,,,,,,1,0
06BUN05,BundleBean,06,USD,,,,,,,,1,0
06BUN06,BundleBean,06,USD,,,,,,,,1,0
06BUN07,BundleBean,06,USD,,,,,,,,1,0
06BUN10,BundleBean,06,USD,,,,,,,,1,0
06BUN12,BundleBean,06,USD,,,,,,,,1,0
06BUN13,BundleBean,06,USD,,,,,,,,1,0
06BUN24,BundleBean,06,USD,,,,,,,,1,0
06BUN25,BundleBean,06,USD,,,,,,,,1,0
06BUN26,BundleBean,06,USD,,,,,,,,1,0
06BUN27,BundleBean,06,USD,,,,,,,,1,0
06BUN29,BundleBean,06,USD,,,,,,,,1,0
06BUN30,BundleBean,06,USD,,,,,,,,1,0
06BUN32,BundleBean,06,USD,,,,,,,,1,0
06BUN33,BundleBean,06,USD,,,,,,,,1,0
06BUN36,BundleBean,06,USD,,,,,,,,1,0
06BUN37,BundleBean,06,USD,,,,,,,,1,0
06BUN39,BundleBean,06,USD,,,,,,,,1,0
06BUN40,BundleBean,06,USD,,,,,,,,1,0
06BUN41,BundleBean,06,USD,,,,,,,,1,0
06BUN42,BundleBean,06,USD,,,,,,,,1,0
06BUN44,BundleBean,06,USD,,,,,,,,1,0
06BUN46,BundleBean,06,USD,,,,,,,,1,0
06BUN47,BundleBean,06,USD,,,,,,,,1,0
06BUN48,BundleBean,06,USD,,,,,,,,1,0
06BUN49,BundleBean,06,USD,,,,,,,,1,0
