CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
BKB40,FPStoreBrands,91
BKB40,FPStoreCategory,225
BKB40,FPStoreExclusive,50
BKB40,FPStoreGifts,229
BKB40,ExclusiveViewAll,50
BKB40,Holiday,9
BKB40,FPStoreBMSM,9
BKB40,CategorySeasonalSub,4
BKB40,TodaySales,190
BKB40,Age4to5Years,272
BKB40,Age5Plus,266
BKB40,BrandsLittlePeople,115
BKB40,FPStoreAge,683
BKB40,FPStoreGiftsBoys,190
BKB40,FPStoreGiftsGirls,152
C6327,SET_COMPONENTS,0
C6327,csr_nla_,0
CBH57,SET_COMPONENTS,0
CBJ37,csr_nla_,0
D9775,ADDONSERVICES,0
D9775,FPStoreBrands,197
D9775,FPStoreCategory,717
D9775,FPStoreAge,194
D9776,ADDONSERVICES,0
D9776,FPStoreBrands,502
D9776,FPStoreCategory,718
D9776,FPStoreAge,499
D9779,FPStoreBrands,655
D9779,FPStoreCategory,719
D9779,FPStoreAge,652
D9779,ADDONSERVICES,0
GW6_FP,ADDONSERVICES,0
J0000,Age4to5Years,293
J0000,Age5Plus,324
J0134,FPStoreBrands,10
J0134,Halloween_sale,11
J0134,Age12to24Month,2
J0134,Age5Plus,1
J0134,Age4to5Years,284
J0134,Age3to4Years,0
J0134,Age2to3Years,145
J0134,FPEasterSale,1
J0134,FPEasterLittlePeople,1
J0134,CategoryFigures,98
J0134,FPStoreCategory,22
J0134,FPStoreAge,0
J0134,FPStoreExclusive,1
J0134,ExclusiveViewAll,1
J0134,topsellers,1
J0134,Zoo,1
J0134,FPStoreGiftsForBaby,7
J0134,this-is-a-test,0
J0134,FPStoreBMSM,6
J0134,CategoryFigsPlaysets,1
J0134,CategoryLearnEdu,1
J0134,TodaySales,10
J0134,BrandsLittlePeople,0
J0134,FPStoreGifts,0
J0134,FPStoreHotGifts,1
J0134,FPStoreGiftsBoys,0
J0134,FPStoreGiftsGirls,1
J9522,FPStoreSale,206
J9522,FPStoreBrands,201
J9522,Age2to3Years,319
J9522,Age4to5Years,398
J9522,Age3to4Years,421
J9522,SET_COMPONENTS,0
J9522,FPStoreBMSM,547
J9522,CategoryFigures,178
J9522,FPStoreCategory,245
J9522,FPStoreExclusive,46
J9522,ExclusiveViewAll,46
J9522,ClearancePlaysetsFigures,66
J9522,CategoryFigsPlaysets,223
J9522,BrandsFPToys,40
J9522,BrandsFPBrand,12
J9522,FPStoreAge,505
J9522,Sale,206
J9522,TodaySales,1300
J9522,FPStoreGifts,297
J9522,FPStoreGiftsGirls,216
J9522,FPStoreGiftsunder50,139
M6552,csr_nla_,0
M9523,FPStoreBrands,165
M9523,MotorSkills,29
M9523,Age6to12Month,70
M9523,Age12to24Month,206
M9523,SET_COMPONENTS,0
M9523,FPEasterSale,46
M9523,FPEasterInfant,16
M9523,FPStoreBMSM,492
M9523,FPStoreCategory,247
M9523,FPStoreGiftsForBaby,38
M9523,BrandsFPToys,7
M9523,CategoryWalkersPush,6
M9523,CategoryInteractive,86
M9523,BrandsFPBrand,115
M9523,TodaySales,3300
M9523,CategoryBabyToys,88
M9523,FPStoreGifts,234
M9523,Classic,9
M9523,Playtime,117
M9523,FPStoreAge,324
M9523,FPStoreGiftsunder50,125
M9528,FPStoreBrands,583
M9528,csr_nla_,0
M9528,Age6to12Month,69
M9528,Age12to24Month,205
M9528,SET_COMPONENTS,0
M9528,FPStoreBMSM,493
M9528,FPStoreCategory,439
M9528,CategoryDollsPlush,47
M9528,BrandsFPToys,22
M9528,CategoryStuffedPlush,5
M9528,CategoryInteractive,85
M9528,BrandsFPBrand,114
