CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
CFF48,dolls,134
CFF48,made-to-move,9
CFF49,fashion-dolls-collector,6
CFF49,dollhouses,5
CFF49,family-friends,11
CFF49,dolls,135
CFF49,made-to-move,10
CFG03,special-occasion,2
CFG03,birthday-wishes-series,4
CFG03,2015-fantasy-special-occasion-dolls,9
CFG03,2015-collection,5
CFG03,linda-kyaw,0
CFG03,pink-label,0
CFG03,fashion-dolls-collector,7
CFG03,dollhouses,6
CFG03,family-friends,12
CFG03,dolls,136
CFG03,made-to-move,11
CFG12,fashion-week,22
CFG12,fashion-dolls,21
CFG12,bcshop,83
CFG12,fashion-dolls-collector,8
CFG12,dollhouses,7
CFG12,family-friends,13
CFG12,dolls,137
CFG12,made-to-move,12
CFG13,fashion-week,18
CFG13,fashion-dolls,22
CFG13,bcshop,80
CFG13,fashion-dolls-collector,9
CFG13,dollhouses,8
CFG13,family-friends,14
CFG13,dolls,138
CFG13,made-to-move,13
CFG14,csr_nla_bc,0
CFG14,fashion-dolls-collector,10
CFG14,dollhouses,9
CFG14,family-friends,15
CFG14,dolls,139
CFG14,made-to-move,14
CFG15,BC_SET_COMPONENTS,0
CFG15,fashion-dolls,23
CFG15,bcshop,89
CFG15,fashion-dolls-collector,11
CFG15,dollhouses,10
CFG15,family-friends,16
CFG15,dolls,140
CFG15,made-to-move,15
CFG16,csr_nla_bc,0
CFG16,fashion-dolls-collector,12
CFG16,dollhouses,11
CFG16,family-friends,17
CFG16,dolls,141
CFG16,made-to-move,16
W3767,silkstone-dolls,7
W3767,campers-cars,7
W3767,entertainment-fairytale-dolls,7
W3767,dolls,7
W3767,collectible-dolls-new,7
W3767,whats-new,7
Y5570,silkstone-dolls,8
Y5570,campers-cars,8
Y5570,entertainment-fairytale-dolls,8
Y5570,dolls,8
Y5570,collectible-dolls-new,8
Y5570,whats-new,8
X2269,silkstone-dolls,9
X2269,campers-cars,9
X2269,entertainment-fairytale-dolls,9
X2269,dolls,9
X2269,collectible-dolls-new,9
X2269,whats-new,9
X5450,silkstone-dolls,10
X5450,furniture,1
X5450,entertainment-fairytale-dolls,10
X5450,dolls,10
X5450,collectible-dolls-new,10
X5450,whats-new,10
X7738,silkstone-dolls,11
X7738,furniture,2
X7738,entertainment-fairytale-dolls,11
X7738,dolls,11
X7738,collectible-dolls-new,11
X7738,whats-new,11
BCN02,silkstone-dolls,12
BCN02,furniture,3
BCN02,entertainment-fairytale-dolls,12
BCN02,dolls,12
BCN02,collectible-dolls-new,12
BCN02,whats-new,12
X7945,csr_nla_bc,0
X7945,silkstone-dolls,13
X7945,furniture,4
X7945,entertainment-fairytale-dolls,13
X7945,dolls,13
X7945,collectible-dolls-new,13
X7945,whats-new,13
X9579,silkstone-dolls,14
X9579,furniture,5
X9579,entertainment-fairytale-dolls,14
X9579,dolls,14
X9579,collectible-dolls-new,14
